"endtime","starttime","censored","model"
44057,25550,TRUE,18
21093,16777,TRUE,17
21689,16747,TRUE,17
21736,16801,TRUE,17
19011,15390,TRUE,17
22569,16764,TRUE,17
32067,16818,TRUE,17
32724,14562,TRUE,17
19014,15345,TRUE,17
28103,16775,TRUE,17
25926,16915,TRUE,17
50546,31072,TRUE,16
50326,31551,TRUE,16
25377,7502,TRUE,16
53206,29558,TRUE,16
50548,31074,TRUE,16
53206,29557,TRUE,16
49799,30176,TRUE,16
52528,28282,TRUE,16
43637,23201,TRUE,16
53202,29554,TRUE,16
47110,31552,FALSE,16
49805,30183,TRUE,16
40204,20680,TRUE,16
40389,27334,TRUE,16
52364,28871,TRUE,16
52502,30183,TRUE,16
28383,20324,TRUE,19
49730,30108,TRUE,16
43736,29872,TRUE,16
50776,31285,TRUE,16
52365,28872,TRUE,16
50033,30540,TRUE,16
53202,29553,TRUE,16
26851,8243,TRUE,16
40324,29889,TRUE,16
30848,30032,FALSE,16
10010,1948,TRUE,19
50641,31173,TRUE,16
53209,29560,TRUE,16
52368,28873,TRUE,16
49559,30109,TRUE,16
52361,28867,TRUE,16
53204,29555,TRUE,16
50501,31031,TRUE,16
37340,26761,TRUE,19
45441,29866,TRUE,16
50488,31014,TRUE,16
36615,29552,FALSE,16
53199,29551,TRUE,16
53200,29552,TRUE,16
50710,31258,TRUE,16
52611,29873,TRUE,16
11240,1351,TRUE,19
52527,28281,TRUE,16
52532,28285,TRUE,16
36893,25385,TRUE,19
50702,31253,TRUE,16
52326,30176,TRUE,16
40769,31402,FALSE,16
45072,29889,TRUE,16
50034,30540,TRUE,16
50334,31559,TRUE,16
45080,29896,TRUE,16
50632,31166,TRUE,16
53200,29552,TRUE,16
44320,29553,FALSE,16
50543,31070,TRUE,16
53059,29560,TRUE,16
49804,30183,TRUE,16
52983,29554,TRUE,16
52598,29858,TRUE,16
52601,29863,TRUE,16
49798,30176,TRUE,16
50768,31277,TRUE,16
50472,30182,TRUE,16
56588,30565,TRUE,16
45513,29864,TRUE,16
52160,29862,TRUE,16
52611,29872,TRUE,16
56584,30563,TRUE,16
50282,30762,TRUE,16
52364,28871,TRUE,16
49803,30181,TRUE,16
45037,29863,TRUE,16
49795,30174,TRUE,16
53207,29558,TRUE,16
54527,30517,TRUE,16
50033,30540,TRUE,16
53206,29558,TRUE,16
47776,29870,TRUE,16
50548,31074,TRUE,16
50482,31024,TRUE,16
44305,29894,TRUE,16
50034,29872,TRUE,16
49804,30182,TRUE,16
50698,31248,TRUE,16
52850,30182,TRUE,16
50470,30181,TRUE,16
50633,31166,TRUE,16
52167,29869,TRUE,16
56586,30563,TRUE,16
46226,26878,TRUE,16
50037,30544,TRUE,16
50542,31067,TRUE,16
50490,30183,TRUE,16
53920,30175,TRUE,16
50640,31174,TRUE,16
51957,29659,TRUE,16
50035,30541,TRUE,16
50491,31023,TRUE,16
50333,31558,TRUE,16
53708,31394,TRUE,16
50550,31075,TRUE,16
50547,31074,TRUE,16
48455,30182,TRUE,16
52612,29873,TRUE,16
49806,30184,TRUE,16
52185,30176,TRUE,16
50037,30543,TRUE,16
50031,30537,TRUE,16
50526,31050,TRUE,16
49805,30183,TRUE,16
50640,31173,TRUE,16
50495,31025,TRUE,16
50494,31025,TRUE,16
52611,29871,TRUE,16
48537,26760,TRUE,16
50525,31049,TRUE,16
50333,31559,TRUE,16
50332,31558,TRUE,16
50639,31173,TRUE,16
50546,31073,TRUE,16
48820,31559,FALSE,16
53915,31400,TRUE,16
50845,31394,TRUE,16
50501,31031,TRUE,16
50526,31049,TRUE,16
50039,30546,TRUE,16
50526,31050,TRUE,16
50640,31173,TRUE,16
50641,31174,TRUE,16
50279,30756,TRUE,16
52333,30182,TRUE,16
50035,30541,TRUE,16
50637,31172,TRUE,16
45868,31073,FALSE,16
55860,30181,TRUE,16
52003,29845,TRUE,16
50492,31025,TRUE,16
50539,31065,TRUE,16
30463,30183,FALSE,16
50717,31266,TRUE,16
49344,30182,TRUE,16
50275,30751,TRUE,16
50716,31267,TRUE,16
50279,30758,TRUE,16
50641,31173,TRUE,16
50273,30750,TRUE,16
48052,29870,TRUE,16
50276,30752,TRUE,16
50530,31054,TRUE,16
50281,30756,TRUE,16
44374,26752,TRUE,16
50548,31074,TRUE,16
52363,28854,TRUE,16
43054,29871,TRUE,16
52361,28854,TRUE,16
50257,30736,TRUE,16
43519,29865,TRUE,16
50031,30538,TRUE,16
52606,29870,TRUE,16
50547,31072,TRUE,16
53922,31403,TRUE,16
50276,30752,TRUE,16
50276,30752,TRUE,16
52613,29873,TRUE,16
48360,29873,TRUE,16
49799,30177,TRUE,16
52791,30494,TRUE,16
52363,28854,TRUE,16
52361,28854,TRUE,16
50501,31031,TRUE,16
45720,29803,TRUE,16
49805,30183,TRUE,16
52912,30176,TRUE,16
50707,31257,TRUE,16
44499,29871,TRUE,16
50500,31031,TRUE,16
46193,29865,TRUE,16
50039,30545,TRUE,16
50493,31025,TRUE,16
50163,30755,TRUE,16
50492,31024,TRUE,16
52611,29873,TRUE,16
52601,29864,TRUE,16
33713,30566,TRUE,16
50639,31172,TRUE,16
52608,29871,TRUE,16
50497,31029,TRUE,16
50080,30565,TRUE,16
52605,30181,TRUE,16
53303,29315,TRUE,16
50776,31285,TRUE,16
42642,29870,FALSE,16
50851,31401,TRUE,16
53201,29553,TRUE,16
50031,30539,TRUE,16
50542,31067,TRUE,16
52610,29872,TRUE,16
50279,30758,TRUE,16
50830,27331,TRUE,16
50615,29871,TRUE,16
50033,30541,TRUE,16
50499,31030,TRUE,16
50472,30182,TRUE,16
52602,29863,TRUE,16
52869,29222,TRUE,16
50767,31275,TRUE,16
51196,29896,TRUE,16
50857,31405,TRUE,16
50641,31174,TRUE,16
48194,29872,FALSE,16
49799,30176,TRUE,16
50499,31029,TRUE,16
32783,24721,TRUE,20
50029,30535,TRUE,16
28153,4717,TRUE,16
53916,31400,TRUE,16
50718,31267,TRUE,16
49183,29662,TRUE,16
50284,30763,TRUE,16
40123,20128,TRUE,16
42831,16818,TRUE,16
50335,31559,TRUE,16
50500,31030,TRUE,16
50258,30736,TRUE,16
